Wavelength Flux
4749.5576171875 39707.34366989136
4750.8076171875 41997.41632080078
4752.0576171875 43760.4408493042
4753.3076171875 43742.15882873535
4754.5576171875 42670.84236907959
4755.8076171875 41001.86566925049
4757.0576171875 41072.38283538818
4758.3076171875 41250.221504211426
4759.5576171875 41133.67469024658
4760.8076171875 39325.783866882324
4762.0576171875 37935.184661865234
4763.3076171875 38125.02787017822
4764.5576171875 38266.621253967285
4765.8076171875 39032.109062194824
4767.0576171875 40093.43857574463
4768.3076171875 39999.109146118164
4769.5576171875 39747.07411956787
4770.8076171875 39517.44543457031
4772.0576171875 40073.284004211426
4773.3076171875 40436.19773864746
4774.5576171875 40952.885345458984
4775.8076171875 41239.60509490967
4777.0576171875 41503.817070007324
4778.3076171875 41478.3698425293
4779.5576171875 41319.415046691895
4780.8076171875 42107.28722381592
4782.0576171875 42225.389709472656
4783.3076171875 41562.60450744629
4784.5576171875 42068.659996032715
4785.8076171875 41298.99821472168
4787.0576171875 40766.30410003662
4788.3076171875 40415.033615112305
4789.5576171875 39971.29493713379
4790.8076171875 39712.53035736084
4792.0576171875 40165.31583404541
4793.3076171875 40154.88171386719
4794.5576171875 40204.06504058838
4795.8076171875 39489.371437072754
4797.0576171875 38106.17493438721
4798.3076171875 37848.0145111084
4799.5576171875 37522.03057861328
4800.8076171875 38241.941581726074
4802.0576171875 38758.588638305664
4803.3076171875 39502.83804321289
4804.5576171875 39832.95863342285
4805.8076171875 40062.900382995605
4807.0576171875 39756.32092285156
4808.3076171875 40636.19551086426
4809.5576171875 41220.707832336426
4810.8076171875 41731.21448516846
4812.0576171875 41559.33044433594
4813.3076171875 41712.37516784668
4814.5576171875 41452.08081817627
4815.8076171875 40958.13296508789
4817.0576171875 40605.51387786865
4818.3076171875 40391.74702453613
4819.5576171875 40761.045806884766
4820.8076171875 40712.44974517822
4822.0576171875 40802.70993804932
4823.3076171875 40984.239906311035
4824.5576171875 41009.872817993164
4825.8076171875 41213.08113861084
4827.0576171875 41443.819580078125
4828.3076171875 42686.72766876221
4829.5576171875 43352.05616760254
4830.8076171875 43042.643379211426
4832.0576171875 42080.50238800049
4833.3076171875 40951.15512084961
4834.5576171875 40889.685066223145
4835.8076171875 41782.6925201416
4837.0576171875 42149.02795410156
4838.3076171875 41935.80390167236
4839.5576171875 41776.64614868164
4840.8076171875 40954.21858215332
4842.0576171875 40947.00740814209
4843.3076171875 41519.66417694092
4844.5576171875 41229.75768280029
4845.8076171875 41588.01739501953
4847.0576171875 41248.37770843506
4848.3076171875 41278.53171539307
4849.5576171875 41721.035820007324
4850.8076171875 41998.478118896484
4852.0576171875 42657.068046569824
4853.3076171875 42710.71949005127
4854.5576171875 42597.20422363281
4855.8076171875 42112.51552581787
4857.0576171875 40894.118980407715
